10.1016/j.cogsys.2012.06.003,Emergence in stigmergic and complex adaptive systems: A formal discrete event systems perspective,"Abstract: Complex systems have been studied by researchers from every discipline: biology, chemistry, physics, sociology, mathematics and economics and more. Depending upon the discipline, complex systems theory has accrued many flavors. We are after a formal representation, a model that can predict the outcome of a complex adaptive system (CAS). In this article, we look at the nature of complexity, then provide a perspective based on discrete event systems (DEVS) theory. We pin down many of the shared features between CAS and artificial systems. We begin with an overview of network science showing how adaptive behavior in these scale-free networks can lead to emergence through stigmergy in CAS. We also address how both self-organization and emergence interplay in a CAS. We then build a case for the view that stigmergic systems are a special case of CAS. We then discuss DEVS levels of systems specifications and present the dynamic structure extensions of DEVS formalism that lends itself to a study of CAS and in turn, stigmergy. Finally, we address the shortcomings and the limitation of current DEVS extensions and propose the required augmentation to model stigmergy and CAS. (C) 2012 Elsevier B.V. All rights reserved. "," Computer Science, Artificial Intelligence; Neurosciences; Psychology, Experimental "
10.1007/s10555-012-9374-8,Insights into the biology and prevention of tumor metastasis provided by the Nm23 metastasis suppressor gene,"Abstract: Metastatic disease is the major cause of death among cancer patients. A class of genes, named metastasis suppressors, has been described to specifically regulate the metastatic process. The metastasis suppressor genes are downregulated in the metastatic lesion compared to the primary tumor. In this review, we describe the body of research surrounding the first metastasis suppressor identified, Nm23. Nm23 overexpression in aggressive cancer cell lines reduced their metastatic potential in vivo with no significant reduction in primary tumor size. A complex mechanism of anti-metastatic action is unfolding involving several known Nm23 enzymatic activities (nucleotide diphosphate kinase, histidine kinase, and 3'aEuro""5' exonuclease), protein-protein interactions, and downstream gene regulation properties. Translational approaches involving Nm23 have progressed to the clinic. The upregulation of Nm23 expression by medroxyprogesterone acetate has been tested in a phase II trial. Other approaches with significant preclinical success include gene therapy using traditional or nanoparticle delivery, and cell permeable Nm23 protein. Recently, based on the inverse correlation of Nm23 and LPA1 expression, a LPA1 inhibitor has been shown to both inhibit metastasis and induce metastatic dormancy. ", Oncology 
10.1007/s10555-012-9371-y,Using MKK4's metastasis suppressor function to identify and dissect cancer cell-microenvironment interactions during metastatic colonization,"Abstract: Host tissue microenvironment plays key roles in cancer progression and colonization of secondary organs. One example is ovarian cancer, which colonizes the peritoneal cavity and especially the omentum. Our research indicates that the interaction of ovarian cancer cells with the omental microenvironment can activate a stress-kinase pathway involving the mitogen-activated protein kinase kinase 4 (MKK4). A combination of clinical correlative and functional data suggests that MKK4 activation suppresses growth of ovarian cancer cells lodged in omentum. These findings prompted us to turn our focus to the cellular composition of the omental microenvironment and its role in regulating cancer growth. In this review, in addition to providing an overview of MKK4 function, we highlight a use for metastasis suppressors as a molecular tool to study cancer cell interaction with its microenvironment. We review features of the omentum that makes it a favorable microenvironment for metastatic colonization. In conclusion, a broader, evolutionary biology perspective is presented which we believe needs to be considered when studying the evolution of cancer cells within a defined microenvironment. Taken together, this approach can direct new multi-dimensional lines of research aimed at a mechanistic understanding of host tissue microenvironment, which could be used to realize novel targets for future research. ", Oncology 
10.1007/s10555-012-9366-8,Molecular characterization of circulating tumor cells in breast cancer: challenges and promises for individualized cancer treatment,"Abstract: Blood testing using Circulating Tumor Cells (CTCs) has emerged as one of the hottest fields in cancer diagnosis. Research on CTCs present nowadays a challenge, as these cells are well defined targets for understanding tumour biology and improving cancer treatment. The presence of tumor cells in patient's bone marrow or peripheral blood is an early indicator of metastasis and may signal tumor spread sooner than clinical symptoms appear and imaging results confirm a poor prognosis. CTC enumeration can serve as a ""liquid biopsy"" and an early marker to assess response to systemic therapy. Definition of biomarkers based on comprehensive characterization of CTCs has a strong potential to be translated to individualized targeted treatments and spare breast cancer patients unnecessary and ineffective therapies but also to reduce the costs for the health system and to downsize the extent and length of clinical studies. In this review, we briefly summarize recent studies on the molecular characterization of circulating tumor cells in breast cancer and discuss challenges and promises of CTCs for individualized cancer treatment. ", Oncology 
10.1007/s12686-012-9701-y,"Isolation and characterization of 18 microsatellite markers for the brown-throated three-toed sloth, Bradypus variegatus","Abstract: The brown-throated three-toed sloth (Bradypus variegatus) is an extremely sedentary arboreal mammal found in many Neotropical forests. Because of its low dispersal potential and ease in capture, it has the potential to serve as a model species to investigate the effects of land cover change in the Neotropics on gene flow and population connectivity. To better understand aspects of B. variegatus biology, such as mating system and dispersal rates, we isolated and characterized 18 polymorphic microsatellite markers. Markers were tested using 32 B. variegatus individuals sampled from a site in northeastern Costa Rica. Each locus contained between three and 12 alleles, while mean expected and observed heterozygosity were equal to 0.72. No loci deviated from Hardy-Weinberg equilibrium, and one locus was significantly linked to two others. These markers have sufficient polymorphism to identify individuals and assign parentage, and can further be used to investigate dispersal rates, mating structure, and other aspects of three-toed sloth ecology. ", Biodiversity Conservation; Genetics & Heredity 
10.1007/s12686-012-9705-7,Development and characterization of ten microsatellite loci for the reef manta ray Manta alfredi,"Abstract: We isolated and characterised ten microsatellite loci from the reef manta ray, Manta alfredi. Loci were screened for 60 individuals from Japan. The number of alleles per locus ranged from 2 to 10 and observed heterozygosity ranged from 0.033 to 0.867. Cross-species amplification was successful in the sister species M. birostris (9/10 loci) and other mobulids, Mobula japanica (7/10), M. thurstoni (8/10) and M. tarapacana (5/10). These loci provide new tools for assessing population genetic structuring and genetic monitoring. ", Biodiversity Conservation; Genetics & Heredity 
10.1007/s10648-012-9199-6,"Transformational Teaching: Theoretical Underpinnings, Basic Principles, and Core Methods","Abstract: Approaches to classroom instruction have evolved considerably over the past 50 years. This progress has been spurred by the development of several learning principles and methods of instruction, including active learning, student-centered learning, collaborative learning, experiential learning, and problem-based learning. In the present paper, we suggest that these seemingly different strategies share important underlying characteristics and can be viewed as complimentary components of a broader approach to classroom instruction called transformational teaching. Transformational teaching involves creating dynamic relationships between teachers, students, and a shared body of knowledge to promote student learning and personal growth. From this perspective, instructors are intellectual coaches who create teams of students who collaborate with each other and with their teacher to master bodies of information. Teachers assume the traditional role of facilitating students' acquisition of key course concepts, but do so while enhancing students' personal development and attitudes toward learning. They accomplish these goals by establishing a shared vision for a course, providing modeling and mastery experiences, challenging and encouraging students, personalizing attention and feedback, creating experiential lessons that transcend the boundaries of the classroom, and promoting ample opportunities for preflection and reflection. We propose that these methods are synergistically related and, when used together, maximize students' potential for intellectual and personal growth. "," Psychology, Educational "
10.1093/icesjms/fss150,"Lengths at maturity and conversion factors for skates (Rajidae) around the British Isles, with an analysis of data in the literature","Abstract: Biological data on skates (Rajidae) from around the British Isles were collected between 1992 and 2010. The relationship between total length and weight for nine species (Amblyraja radiata, Dipturus batis-complex, Leucoraja fullonica, L. naevus, Raja brachyura, R. clavata, R. microocellata, R. montagui, and R. undulata) are provided for each sex and ICES ecoregion (when significantly different). Conversion factors for disc width to total length are provided. The lengths at first maturity and of the largest immature skates are reported for each sex, and the lengths at 50% maturity are estimated. Spatial differences in the length at maturity of R. clavata (females only) and L. naevus (both sexes) were observed. The lengths at maturity are discussed in relation to the results of earlier studies, and methodological differences are considered to have influenced reputed decreases in the length at maturity. A more standardized approach to collecting and reporting maturity information is required if potential spatial differences and temporal changes are to be investigated. ", Fisheries; Marine & Freshwater Biology; Oceanography 
10.1016/j.aspen.2012.05.013,A new Latuspina Monzen oak gallwasp species from Taiwan (Hymenoptera: Cynipidae: Cynipini),"Abstract: A new species of oak gallwasp, Latuspina maniniaoyangae sp. nov., is described in Taiwan. The species induces leaf galls on Quercus variabilis (Fagaceae). Data on the diagnosis, distribution, and biology of the new species are given. This is the second known Latuspina species. (c) Korean Society of Applied Entomology, Taiwan Entomological Society and Malaysian Plant Protection Society, 2012. Published by Elsevier B.V. All rights reserved. ", Entomology 
10.1016/j.aspen.2012.07.005,A new Andricus Hartig oak gallwasp species from China (Hymenoptera: Cynipidae: Cynipini),"Abstract: A new species of oak gallwasp. Andricus xishuangbannaus is described from China. The species induces leaf galls on Quercus griffithii (Fagaceae). Diagnosis, distribution, and biology of the new species are included. (C) Korean Society of Applied Entomology, Taiwan Entomological Society and Malaysian Plant Protection Society, 2012. Published by Elsevier B.V. All rights reserved. ", Entomology 
10.1016/j.aspen.2012.07.003,"
Biology of Apanteles myeloenta (Hymenoptera: Braconidae), a larval parasitoid of carob moth Ectomyelais ceratoniae (Lepidoptera: Pyralidae)","Abstract: The carob moth, Ectomyelois ceratoniae (Lepidoptera: Pyralidae), is the most important pest of pomegranate orchards (in terms of economic damage) within Iran, and hence, several control procedures, including biological methods of control, have been attempted as a means of controlling populations of this insect. This research was carried out in order to study the biology of Apanteles myeloenta (Hymenoptera: Braconidae), a larval parasitoid of the carob moth. Laboratory studies were conducted to determine larval developmental time, adult longevity, sex ratio, parasite progeny production, and host stage preference of A. myeloenta. At 25 +/- 1 degrees C, immature developmental time (egg to pupa; mean +/- SE) was 28.33 +/- 0.85 days and 27.46 +/- 0.37 days for male and females, respectively. Adult females survived on average 17.5 +/- 0.14, 11.7 +/- 0.22, 3.4 +/- 0.18, and 2.8 +/- 0.12 days at 25 C when provided with honey and water, honey only, water only or no food source, respectively. The sex ratio (females to males) of A. myeloenta was 1:3.5 from hosts parasitized in the first instar, 1:3 for second instars and 1:2 for third instar carob moth larvae. Female A. myeloenta typically preferred to parasitize second instar over third or first instar. The oviposition activity peaked on the 7th and 8th days following emergence, when provided with honey, and 10% sucrose solution, respectively. (C) Korean Society of Applied Entomology, Taiwan Entomological Society and Malaysian Plant Protection Society, 2012. Published by Elsevier B.V. All rights reserved. ", Entomology 
10.1142/S0219720012500163,SUITE OF TOOLS FOR STATISTICAL N-GRAM LANGUAGE MODELING FOR PATTERN MINING IN WHOLE GENOME SEQUENCES,Abstract: Genome sequences contain a number of patterns that have biomedical significance. Repetitive sequences of various kinds are a primary component of most of the genomic sequence patterns. We extended the suffix-array based Biological Language Modeling Toolkit to compute n-gram frequencies as well as n-gram language-model based perplexity in windows over the whole genome sequence to find biologically relevant patterns. We present the suite of tools and their application for analysis on whole human genome sequence. ," Biochemical Research Methods; Computer Science, Interdisciplinary Applications; Mathematical & Computational Biology "
10.1002/gcc.21999,Poly-gene fusion transcripts and chromothripsis in prostate cancer,"Abstract: Complex genome rearrangements are frequently observed in cancer but their impact on tumor molecular biology is largely unknown. Recent studies have identified a new phenomenon involving the simultaneous generation of tens to hundreds of genomic rearrangements, called chromothripsis. To understand the molecular consequences of these events, we sequenced the genomes and transcriptomes of two prostate tumors exhibiting evidence of chromothripsis. We identified several complex fusion transcripts, each containing sequence from three different genes, originating from different parts of the genome. One such poly-gene fusion transcript appeared to be expressed from a chain of small genomic fragments. Furthermore, we detected poly-gene fusion transcripts in the prostate cancer cell line LNCaP, suggesting they may represent a common phenomenon. Finally in one tumor with chromothripsis, we identified multiple mutations in the p53 signaling pathway, expanding on recent work associating aberrant DNA damage response mechanisms with chromothripsis. Overall, our data show that chromothripsis can manifest as massively rearranged transcriptomes. The implication that multigenic changes can give rise to poly-gene fusion transcripts is potentially of great significance to cancer genetics. (c) 2012 Wiley Periodicals, Inc. ", Oncology; Genetics & Heredity 
10.1007/s10719-012-9385-2,Ionizing radiations increase the activity of the cell surface glycohydrolases and the plasma membrane ceramide content,"Abstract: We detected significant levels of beta-glucosidase, beta-galactosidase, sialidase Neu3 and sphingomyelinase activities associated with the plasma membrane of fibroblasts from normal and Niemann-Pick subjects and of cells from breast, ovary, colon and neuroblastoma tumors in culture. All of the cells subjected to ionizing radiations showed an increase of the activity of plasma membrane beta-glucosidase, beta-galactosidase and sialidase Neu3, in addition of the well known increase of activity of plasma membrane sphingomyelinase, under similar conditions. Human breast cancer cell line T47D was studied in detail. In these cells the increase of activity of beta-glucosidase and beta-galactosidase was parallel to the increase of irradiation dose up to 60 Gy and continued with time, at least up to 72 h from irradiation. beta-glucosidase increased up to 17 times and beta-galactosidase up to 40 times with respect to control. Sialidase Neu3 and sphingomyelinase increased about 2 times at a dose of 20 Gy but no further significant differences were observed with increase of radiation dose and time. After irradiation, we observed a reduction of cell proliferation, an increase of apoptotic cell death and an increase of plasma membrane ceramide up to 3 times, with respect to control cells. Tritiated GM3 ganglioside has been administered to T47D cells under conditions that prevented the lysosomal catabolism. GM3 became component of the plasma membranes and was transformed into LacCer, GlcCer and ceramide. The quantity of ceramide produced in irradiated cells was about two times that of control cells. ", Biochemistry & Molecular Biology 
10.1002/jcb.24241,Ultraviolet A regulates the stemness of human adipose tissue-derived mesenchymal stem cells through downregulation of the HIF-1a via activation of PGE2-cAMP signaling,"Abstract: Ultraviolet A (UVA) irradiation is responsible for a variety of changes in cell biology. The purpose of this study was to investigate the effects of UVA irradiation on the stemness properties of human adipose tissue-derived mesenchymal stem cells (hAMSCs). Furthermore, we examined the UVA-antagonizing effects of L-cysteine ethylester hydrochloride (ethylcysteine) and elucidated its action mechanisms. The results of this study showed that UVA reduced the proliferative potential and stemness of hAMSCs, as evidenced by reduced proliferative activity in the 3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyltetrazolium bromide (MTT) assay and downregulation of OCT4, NANOG, and SOX2, stemness-related genes. The mRNA level of hypoxia-inducible factor (HIF)-1a, but not HIF-2a was reduced by UVA. Moreover, the knockdown of HIF-1a using small interfering RNA (siRNA) for HIF-1a was found to downregulate stemness genes, suggesting that UVA reduces the stemness through downregulation of HIF-1a. In addition, we examined the mechanisms underlying the UVA-mediated effects and found that UVA induced production of prostaglandin (PG) E2 and 3'-5'-cyclic adenosine monophosphate (cAMP), and that this effect was mediated through activation of activating protein-1 (AP-1) and nuclear factor-?B (NF-?B). The UVA effects were antagonized by ethylcysteine, and the effects were found to be mediated by reduced production of PGE2 through the inhibition of JNK and p42/44 MAPK. Taken together, these findings show for the first time that UVA regulates the stemness of hAMSCs and its effects are mediated by downregulation of HIF-1a via the activation of PGE2cAMP signaling. In addition, ethylcysteine may be used as an antagonizing agent to mitigate the effects of UVA. J. Cell. Biochem. 113: 36813691, 2012. (C) 2012 Wiley Periodicals, Inc. ", Biochemistry & Molecular Biology; Cell Biology 
10.1111/j.1600-0765.2012.01485.x,Levels of Selenomonas species in generalized aggressive periodontitis,"Abstract: Goncalves LFH, Fermiano D, Feres M, Figueiredo LC, Teles FRP, Mayer MPA, Faveri M. Levels of Selenomonas species in generalized aggressive periodontitis. J Periodont Res 2012; 47: 711718. (c) 2012 John Wiley & Sons A/S Background and Objective: To compare the levels of Selenomonas sputigena and uncultivated/unrecognized Selenomonas species in subgingival biofilms from periodontally healthy subjects and from subjects with generalized aggressive periodontitis. Material and Methods: Fifteen periodontally healthy subjects and 15 subjects with generalized aggressive periodontitis were recruited and their clinical periodontal parameters were evaluated. Nine subgingival plaque samples were collected from each subject and all were individually analyzed for the levels of 10 bacterial taxa, including cultured and uncultivated/unrecognized microorganisms, using the RNA-oligonucleotide quantification technique. Between-group differences in the levels of the test taxa were determined using the MannWhitney U-test. Results: Subjects with generalized aggressive periodontitis showed significantly higher mean counts of Porphyromonas gingivalis, S. sputigena and the Mitsuokella sp. Human Oral Taxon (HOT) 131 (previously described as Selenomonas sp. oral clone CS002), while higher mean counts of Actinomyces gerencseriae and Streptococcus sanguinis were found in periodontally healthy subjects (p < 0.01). Selenomonas sp. HOT 146 was only detected in the generalized aggressive periodontitis group. In the generalized aggressive periodontitis group, the levels of P.gingivalis and S.sputigena were higher in deep sites (probing depth = 5 mm) than in shallow sites (probing depth = 3 mm) (p < 0.01). Furthermore, in subjects with generalized aggressive periodontitis, sites with probing depth of = 3 mm harbored higher levels of these two species than sites with the same probing depth in periodontally healthy subjects. There were positive correlations between probing depth and the levels of P.gingivalis (r = 0.77; p < 0.01), S.sputigena (r = 0.60; p < 0.01) and Selenomonas dianae (previously described as Selenomonas sp. oral clone EW076) (r = 0.42, p < 0.05). Conclusion: S. sputigena and Mitsuokella sp. HOT 131 may be associated with the pathogenesis of generalized aggressive periodontitis, and their role in the onset and progression of this infection should be investigated further. "," Dentistry, Oral Surgery & Medicine "
10.1007/s12032-011-0142-3,A new dic(7;12)(p12.21;p12.2) and i(12)(q10) during the lymphoid blast crisis of patient with Ph plus chronic myeloid leukemia,"Abstract: Chronic myelogenous leukemia (CML) is a common myeloproliferative disease that is characterized by the clonal expansion of marrow stem cells, and is associated with the Philadelphia chromosome. As the disease progresses, additional chromosome abnormalities may arise. The prognostic impact of secondary chromosomal abnormalities in CML is complex, heterogeneous, and sometimes related to previous treatment. Here, we describe a CML patient in lymphoid blast crisis associated with a new chromosomal abnormality identified, dic(7;12)(p12.21;p12.2) and i(12)(q10) using classical cytogenetics and spectral karyotype analysis. To the best of our knowledge, this is the first report of t(7;12)(p11.1;q11.1) and i(12)(q10) in a CML patient with lymphoid evolution. ", Oncology 
10.1016/j.nbd.2012.07.023,Matrix metalloproteinases in skeletal muscles: Friends or foes?,"Abstract: Matrix metalloproteinases (MMPs) are members of an enzyme family that require a zinc ion at their active site. Active at neutral pH, they catalyze normal turnover of extracellular matrix (ECM) and are critical for maintaining tissue allostasis. Subtle coordination between MMP activity and its inhibition by tissue inhibitors of metalloproteinases (TIMPs) insures ECM homeostasis. Loss of control of MMPs expression/activity in numerous pathologies usually associates with host response to injuries, facilitation of disease progression and significant tissue damage. In skeletal muscles, fragmentary knowledge of MMPsflIMPs regulation and function underscores the need for a better understanding of their role which may lead to therapeutic alternatives. This review presents the current knowledge of MMPs in the biology and pathology of skeletal muscles and puts into perspective therapeutic alternatives that could be challenged in experimental models or that might emerge from in depth investigation of MMPs/TIMPs status in neuromuscular diseases. (c) 2012 Elsevier Inc. All rights reserved. ", Neurosciences 
10.1166/jbn.2012.1459,The Upcoming Field of Theranostic Nanomedicine: An Overview,"Abstract: Nanocarriers have drastically changed the face of health care by making a mark in diverse arenas of diagnosis, drug delivery, and gene delivery to name a few. The recent feat in nanotechnology has been the birth of nanotheranostics which aims at blending both therapeutic and diagnostic functions within a single nanoscaffold. The field of theranostic nanomedicine is a result of fruitful advances in fields of material science, imaging modalities, formulation development, and molecular biology. Theranostic nanomedicine that was at first developed for enhancing the quality of treatment meted out to cancer patients has now been explored even in atherosclerosis and infections, albeit to a lower extent. The review summarizes various types of nanocarriers that have been explored with one or sometimes multiple imaging modalities for an array of applications ranging from drug delivery and gene delivery to photosensitizing agent delivery for photodynamic therapy. The article also highlights the few but significant developments made in the field of theranostic nanomedicine for atherosclerosis and infections. In conclusion, theranostic nanomedicine is a rapidly growing field. However, there are a few problems that need to be addressed before theranostic nanocarriers carve a niche for themselves in the clinic. "," Nanoscience & Nanotechnology; Medicine, Research & Experimental "
10.1089/ars.2012.4523,The Electrophile Responsive Proteome: Integrating Proteomics and Lipidomics with Cellular Function,"Abstract: Significance: The process of lipid peroxidation is emerging as an important mechanism that mediates the post-translational modification of proteins. Through advanced analytical techniques, lipidomics is now emerging as a critical factor in our understanding of the pathology of a broad range of diseases. Recent Advances: During enzymatic or nonenzymatic lipid peroxidation, the simple structure of an unsaturated fatty acid is converted to an oxylipidome, many members of which are electrophilic and form the reactive lipid species (RLS). This aspect of lipid biology is particularly important, as it directly connects lipidomics with proteomics through the post-translational modification of a sub-proteome in the cell. This arises, because the electrophilic members of the oxylipidome react with proteins at nucleophilic amino-acid residues and so change their structure and function to form electrophile-responsive proteomes (ERP). Critical Issues: Biological systems have relatively few but well-defined and mechanistically distinct pro-oxidant pathways generating RLS. Defining the ERPs and the mechanisms underlying their formation and action has been a major focus for the field of lipidomics and redox signaling. Future Directions: We propose that a unique oxylipidome can be defined for specific oxidants and will predict the biological responses through the reaction with proteins to form a specific ERP. In this review, we will describe the ERPs that modulate antioxidant and anti-inflammatory protective pathways, including the activation of Keap1/Nrf2 and the promotion of cell death through interactions with mitochondria. Antioxid. Redox Signal. 17, 1580-1589. ", Biochemistry & Molecular Biology; Endocrinology & Metabolism 
10.1002/ijc.27572,Gr-1+CD11b+cells are responsible for tumor promoting effect of TGF-ss in breast cancer progression,"Abstract: One great challenge in our understanding of TGF-beta cancer biology and the successful application of TGF-beta-targeted therapy is that TGF-beta works as both a tumor suppressor and a tumor promoter. The underlying mechanisms for its functional change remain to be elucidated. Using 4T1 mammary tumor model that shares many characteristics with human breast cancer, particularly its ability to spontaneously metastasize to the lungs, we demonstrate that Gr-1+CD11b+ cells or myeloid derived suppressor cells are important mediators in TGF-beta regulation of mammary tumor progression. Depletion of Gr-1+CD11b+ cells diminished the antitumor effect of TGF-beta neutralization. Two mechanisms were involved: first, treatment with TGF-beta neutralization antibody (1D11) significantly decreased the number of Gr-1+CD11b+ cells in tumor tissues and premetastatic lung. This is mediated through increased Gr-1+CD11b+ cell apoptosis. In addition, 1D11 treatment significantly decreased the expression of Th2 cytokines and Arginase 1. Interestingly, the number and property of Gr-1+CD11b+ cells in peripheral blood/draining lymph nodes correlated with tumor size and metastases in response to 1D11 treatment. Our data suggest that the efficacy of TGF-beta neutralization depends on the presence of Gr-1+CD11b+ cells, and these cells could be good biomarkers for TGF-beta-targeted therapy. ", Oncology 
10.1016/j.soilbio.2012.06.012,Buried organic horizons represent amino acid reservoirs in boreal forest soils,"Abstract: We examined the composition and concentration of amino acids by soil horizon and depth on the Tanana River floodplain in interior Alaska. Soils from mid-successional stages of balsam poplar and white spruce were separated into successive forest floor (Oe/Oa), buried organic horizons (BOHs), and mineral horizons; and water-extractable amino acid composition and concentration were determined by HPLC. The number, depth, and thickness of BOHs were highly variable across the landscape and among replicates of the same stand type, reflecting differences in terrace age, flood frequency, flood intensity, river channel position, vegetation inputs, and decomposition. BOHs generally had lower pH and bulk density, higher moisture content, and greater concentrations of carbon, nitrogen, and roots than the surrounding mineral horizons. In each horizon of both successional stages, the soil amino acid pool was dominated by glutamic acid, glutamine, alanine, asparagine, aspartic acid, and histidine, which together accounted for approximately 80% of the total amino acids found. Despite the similar overall amino acid composition among the horizons, proportions of glutamine generally increased with depth and were generally greater in the mineral horizons than in the BOHs, suggesting root exudation or fine root turnover as an amino acid source. In both successional stages, amino acid concentrations were nearly always highest in the Oe/Oa horizon and rapidly decreased with depth. BOHs generally had greater amino acid concentrations than the surrounding mineral horizons in both successional stages, but amino acid concentrations in successive BOHs declined with depth in the soil profile, suggesting that although BOHs do remain as biological hot spots and potential nutrient reservoirs as far down as 60 cm depth, their importance declines over time. (C) 2012 Elsevier Ltd. All rights reserved. ", Soil Science 
10.1016/j.canlet.2012.06.011,A novel mouse model of gastric cancer with human gastric microenvironment,"Abstract: Mouse models play an irreplaceable role in the in vivo research of human gastric cancer. In this study, we developed a novel human Gastric tissue-derived Orthotopic and Metastatic (GOM) mouse model of human gastric cancer, in which the human normal gastric tissues were implanted subcutaneously into immunodeficient mice to create a human gastric microenvironment. Then, human gastric cancer cells were injected into the implants. GOM model could mimic the interactions between human gastric microenvironment and human gastric cancer cells, which help exhibit the real characteristics of tumor cells, and finally mimic the clinical-like tumor proliferation and metastases of human beings. (C) 2012 Elsevier Ireland Ltd. All rights reserved. ", Oncology 
10.1016/j.compedu.2012.05.002,The impact of laptop-free zones on student performance and attitudes in large lectures,"Abstract: The goal of this study was to determine if laptop use in lecture negatively impacts learning outcomes of surrounding students taking notes on paper. Two sections of a large introductory biology course (>400 students/section) were zoned into a laptop-permitted and a laptop-free area. Two sections in which laptop users could sit anywhere served as the Control. There was no difference in the attendance (similar to 85%) or percentage of students using laptops (similar to 29%) between Zoned and Control sections. Academic performance, based on exam points earned, was not significantly different for paper users in Zoned and Control sections indicating laptop use did not impair the overall achievement of surrounding students. However, there was a correlation between exam performance and note taking preference: paper note takers scored significantly higher and laptop users scored significantly lower than predicted by pre-class academic indicators (p < 0.01, paired t-test). The majority of both laptop (64%) and paper users (82%) in the Zoned sections supported a policy restricting laptop use to specific areas. Thus, while we further investigate whether the relationship between laptop use and performance is correlative or causative, zoning is an effective method for accommodating both laptop users and paper note takers in the same lecture hall. (C) 2012 Elsevier Ltd. All rights reserved. "," Computer Science, Interdisciplinary Applications; Education & Educational Research "
10.1016/j.micron.2012.02.012,Foreword to the special issue on AFM in biology & bionanomedicine,"Abstract: It is now more than twenty-five years since the initial description of scanning probe microscopy and almost twenty years since the first commercial microscopes found their way into research labs. Currently, we are at a very interesting juncture, during which atomic force microscopy (AFM) is moving from basic research to successful applications in analytical biology and diagnostic medicine. Thus, the timing of this special issue on ""Atomic Force Microscopy in Biology & Bionanomedicine"", documenting this transition in AFM usage, could not be more appropriate; particularly given the increasing importance of AFM as new or improved methods, reagents, and instrumentation are developed to address outstanding biological questions. (C) 2012 Elsevier Ltd. All rights reserved. ", Microscopy 
10.1016/j.micron.2012.02.014,Compliance profile of the human cornea as measured by atomic force microscopy,"Abstract: The ability to accurately determine the elastic modulus of each layer of the human cornea is a crucial step in the design of better corneal prosthetics. In addition, knowledge of the elastic modulus will allow design of substrates with relevant mechanical properties for in vitro investigations of cellular behavior. Previously, we have reported elastic modulus values for the anterior basement membrane and Descemet's membrane of the human cornea, the surfaces in contact with the epithelial and endothelial cells, respectively. We have completed the compliance profile of the stromal elements of the human cornea by obtaining elastic modulus values for Bowman's layer and the anterior stroma. Atomic force microscopy (AFM) was used to determine the elastic modulus, which is a measure of the tissue stiffness and is inversely proportional to the compliance. The elastic response of the tissue allows analysis with the Hertz equation, a model that provides a relationship between the indentation force and depth and is a function of the tip radius and the modulus of the substrate. The elastic modulus values for each layer of the cornea are: 7.5 +/- 4.2 kPa (anterior basement membrane), 109.8 +/- 13.2 kPa (Bowman's layer), 33.1 +/- 6.1 kPa (anterior stroma), and 50 +/- 17.8 kPa (Descemet's membrane). These results indicate that the biophysical properties, including elastic modulus, of each layer of the human cornea are unique and may play a role in the maintenance of homeostasis as well as in the response to therapeutic agents and disease states. The data will also inform the design and fabrication of improved corneal prosthetics. (C) 2012 Published by Elsevier Ltd. ", Microscopy 
10.1016/j.micron.2012.05.005,Atomic force microscopy: A nanoscopic view of microbial cell surfaces,"Abstract: The atomic force microscope (AFM) is a powerful instrument for microbiological investigation. It has evolved from an imaging tool used to investigate microbial surfaces at high resolution in their physiological environment into a lab-on-a-tip device, which allows more quantitative analysis of biological samples (from molecules to cells) in aqueous liquids. Atomic force microscopy provides information about the nanoscale architecture of microbes and about the localization and interactions of their individual constituents. Microbial interactions play essential roles in biology, medicine, ecology, biotechnology, food science and contribute to phenomena as varied as bacterial infections, biofilm formation, and bacterial adhesion to surfaces. In this review, we focus on recent developments offered by the rapid advances in AFM imaging and force spectroscopy with emphasizes on microbial research. (C) 2012 Elsevier Ltd. All rights reserved. ", Microscopy 
10.1016/j.micron.2012.03.025,Fabricated cantilever for AFM measurements and manipulations: Pre-stress analysis of stress fibers,"Abstract: The atomic force microscope (AFM) is a highly successful instrument for imaging of nanometer-sized samples and measurement of pico- to nano-Newton forces acting between atoms and molecules, especially in liquid. Generally, commercial AFM cantilevers, which have a sharp tip, are used for AFM experiments. In this review, we introduce micro-fabricated AFM cantilevers and show several applications for cell biology. In manipulation of samples on a cellular scale with a force of tens to hundreds of nano-Newtons, attempts have been made to secure the formation of covalent/non-covalent linkages between the AFM probe and the sample surface. However, present chemistry-based modification protocols of cantilevers do not produce strong enough bonds. To measure the tensile strength and other mechanical properties of actin-based thin filaments in both living and semi-intact fibroblast cells, we fabricated a probe with a hooking function by focused ion beam technology and used it to capture, pull and eventually break a chosen thin filament, which was made visible through fusion with fluorescent proteins. Furthermore, we fabricated a microscoop cantilever specifically designed for pulling a microbead attached to a cell. The microscoop cantilevers can realize high-throughput measurements of cell stiffness. (C) 2012 Elsevier Ltd. All rights reserved. ", Microscopy 
