10.1098/rsfs.2012.0034,Pattern-formation mechanisms in motility mutants of Myxococcus xanthus,"Abstract: Formation of spatial patterns of cells is a recurring theme in biology and often depends on regulated cell motility. Motility of the rod-shaped cells of the bacterium Myxococcus xanthus depends on two motility machineries, type IV pili (giving rise to S-motility) and the gliding motility apparatus (giving rise to A-motility). Cell motility is regulated by occasional reversals. Moving M. xanthus cells can organize into spreading colonies or spore-filled fruiting bodies, depending on their nutritional status. To ultimately understand these two pattern-formation processes and the contributions by the two motility machineries, as well as the cell reversal machinery, we analyse spatial self-organization in three M. xanthus strains: (i) a mutant that moves unidirectionally without reversing by the A-motility system only, (ii) a unidirectional mutant that is also equipped with the S-motility system, and (iii) the wild-type that, in addition to the two motility systems, occasionally reverses its direction of movement. The mutant moving by means of the A-engine illustrates that collective motion in the form of large moving clusters can arise in gliding bacteria owing to steric interactions of the rod-shaped cells, without the need of invoking any biochemical signal regulation. The two-engine strain mutant reveals that the same phenomenon emerges when both motility systems are present, and as long as cells exhibit unidirectional motion only. From the study of these two strains, we conclude that unidirectional cell motion induces the formation of large moving clusters at low and intermediate densities, while it results in vortex formation at very high densities. These findings are consistent with what is known from self-propelled rod models, which strongly suggests that the combined effect of self-propulsion and volume exclusion interactions is the pattern-formation mechanism leading to the observed phenomena. On the other hand, we learn that when cells occasionally reverse their moving direction, as observed in the wild-type, cells form small but strongly elongated clusters and self-organize into a mesh-like structure at high enough densities. These results have been obtained from a careful analysis of the cluster statistics of ensembles of cells, and analysed in the light of a coagulation Smoluchowski equation with fragmentation. ", Biophysics 
10.1016/j.neucom.2011.05.047,Dynamic and collective analysis of membrane protein interaction network based on gene regulatory network model,"Abstract: Membrane protein interactions are vitally important for every process in a living cell. Information about these interactions can improve our understanding of diseases and provide the basis to revolutionize therapeutic treatments. However, current experimental techniques for large-scale detection of protein-protein interactions are biased against membrane proteins, it is necessary to develop novel tools to deal with this kind of bio-network. To realize this, we construct membrane protein interaction network based on gene regulatory network model. Three model forms, basic form, non-dimensionalization form, and more complex form, are proposed to understand the dynamic and collective control of developmental process and the characters of membrane protein interaction network, including small-world network, scale free distributing and robustness, and its significance for biology. Four simulation examples are presented to illustrate the usefulness and flexibility of the GRN model method for the study of membrane protein interaction network. The results show that the proposed approach holds a high potential to become a useful tool in prediction of membrane protein interactions. Moreover, it has biological significance and value for biology and pharmacology. (c) 2012 Elsevier B.V. All rights reserved. "," Computer Science, Artificial Intelligence "
10.1016/j.bbagen.2012.08.022,"Fucanomics and galactanomics: Current status in drug discovery, mechanisms of action and role of the well-defined structures","Abstract: Background: With the recent advent of glycomics, many medically relevant glycans have been discovered. Sulfated fucans (SFs) and sulfated galactans (SGs) are one of these classes of glycans with increasing interest to both glycomics and medicine. Besides having very unique structures, some of these molecules exhibit a broad range of pharmacological actions. In certain cases, high levels of effectiveness may be reached when the proper structural requirements are found.

Scope of review: Here, we cover the fundamental biochemical mechanisms of some of these medicinal properties. We particularly focus on the beneficial activities of SFs and SGs in inflammation, hemostasis, vascular biology, and cancer.

Major conclusions: In these clinical systems. intermolecular complexes directly driven by electrostatic interactions of SFs and SGs with P- and L-selectins, chemokines, antithrombin, heparin cofactor II, thrombin, factor Xa, bFGF, and VEGF, overall govern the resultant therapeutic effects. In spite of that, the structural features of SFs and SGs have shown to be essential determinants for formation and stability of those molecular complexes, which consequently account to the differential levels of the biomedical responses.

General significance: Accurate structure-function relationships have mostly been achieved when SFs and SGs of well-defined structures are used for study. Therefore, these types of glycans have become of great usefulness to identify the chemical requirements needed to achieve satisfactory clinical responses. (C) 2012 Elsevier B.V. All rights reserved. ", Biochemistry & Molecular Biology; Biophysics 
10.1016/j.bbagen.2012.09.011,The abasic site lesions in the human telomeric sequence d[TA(G(3)T(2)A)(3)G(3)]: A thermodynamic point of view,"Abstract: Background: The abasic sites represent one of the most frequent lesions of DNA and most of the events able to generate such modifications involve guanine bases. G-rich sequences are able to form quadruplex structures that have been proved to be involved in several important biological processes.

Methods: In this paper, we report investigations, based on calorimetric, UV, CD and electrophoretic techniques, on 12 oligodeoxynucleotides analogues of the quadruplex forming human telomere sequence d[TA(G(3)T(2)A)(3)G(3)], in which each guanine has been replaced, one at a time, by an abasic site mimic.

Results: Although all data show that the modified sequences preserve their ability to form quadruplex structures, the thermodynamic parameters clearly indicate that the presence of an abasic site decreases their thermal stability compared to the parent unmodified sequence, particularly if the replacement concerns one of the guanosines involved in the formation of the central G-tetrad.

Conclusions: The collected data indicate that the effects of the presence of abasic site lesions in telomeric quadruplex structures are site-specific. The most dramatic consequences come out when this lesion involves a guanosine in the centre of a G-run.

General significance: Abasic sites, by facilitating the G-quadruplex disruption, could favour the formation of the telomerase primer. Furthermore they could have implications in the pharmacological approach targeting telomere. (C) 2012 Elsevier B.V. All rights reserved. ", Biochemistry & Molecular Biology; Biophysics 
10.1007/s10531-012-0363-6,Toward improved conservation management: a consideration of sensory ecology,"Abstract: All organisms rely on sensory systems to obtain, interpret, and respond to information available in their environment. With rapid alterations of ecosystems occurring across the globe, organisms are being faced with sensory challenges that result in behavioural changes and disruptions with potential population-level consequences. Through a consideration of sensory ecology, it is possible to identify the underlying causes of disturbances at the individual level and use this information to develop better-informed, highly targeted, and more effective management strategies. Indeed, sensory-based approaches have already been successful in response to a variety of conservation issues. This article provides a general discussion of how a consideration of sensory ecology can benefit conservation biology and proceeds to describe three areas of rapid growth and potential for expansion: (1) mitigation of anthropogenic noise disturbance; (2) prevention and amelioration of ecological and other evolutionary traps; (3) targeted population control with special attention to aquatic invasive species. I conclude with general recommendations on how sensory ecologists and conservation biologists can mutually benefit from integrated endeavours. ", Biodiversity Conservation; Ecology; Environmental Sciences 
10.1007/s10531-012-0370-7,The ecosystem functioning dimension in conservation: insights from remote sensing,"Abstract: An important goal of conservation biology is the maintenance of ecosystem processes. Incorporating quantitative measurements of ecosystem functions into conservation practice is important given that it provides not only proxies for biodiversity patterns, but also new tools and criteria for management. In the satellite era, the translation of spectral information into ecosystem functional variables expands and complements the more traditional use of satellite imagery in conservation biology. Remote sensing scientists have generated accurate techniques to quantify ecosystem processes and properties of key importance for conservation planning such as primary production, ecosystem carbon gains, surface temperature, albedo, evapotranspiration, and precipitation use efficiency; however, these techniques are still unfamiliar to conservation biologists. In this article, we identify specific fields where a remotely-sensed characterization of ecosystem functioning may aid conservation science and practice. Such fields include the management and monitoring of species and populations of conservation concern; the assessment of ecosystem representativeness and singularity; the use of protected areas as reference sites to assess global change effects; the implementation of monitoring and warning systems to guide adaptive management; the direct evaluation of supporting ecosystem services; and the planning and monitoring of ecological restorations. The approaches presented here illustrate feasible ways to incorporate the ecosystem functioning dimension into conservation through the use of satellite-derived information. ", Biodiversity Conservation; Ecology; Environmental Sciences 
10.1007/s10529-012-1038-9,Metabolic shifts: a fitness perspective for microbial cell factories,"Abstract: Performance of industrial microorganisms as cell factories is limited by the capacity to channel nutrients to desired products, of which optimal production usually requires careful manipulation of process conditions, or strain improvement. The focus in process improvement is often on understanding and manipulating the regulation of metabolism. Nonetheless, one encounters situations where organisms are remarkably resilient to further optimization or their properties become unstable. Therefore it is important to understand the origin of these apparent limitations to find whether and how they can be improved. We argue that by considering fitness effects of regulation, a more generic explanation for certain behaviour can be obtained. In this view, apparent process limitations arise from trade-offs that cells faced as they evolved to improve fitness. A deeper understanding of such trade-offs using a systems biology approach can ultimately enhance performance of cell factories. ", Biotechnology & Applied Microbiology 
10.1007/s10529-012-1041-1,Improved 2-methyl-1-propanol production in an engineered Bacillus subtilis by constructing inducible pathways,"Abstract: High-level constitutive gene expression can result in cellular metabolic imbalance and limit production. To circumvent these problems, a P-alsSD-controlled auto-inducible 2-ketoisovalerate biosynthetic pathway and a P-spac-controlled IPTG-inducible Ehrlich pathway were constructed in Bacillus subtilis to modulate gene expression. Based on the precise gene expression characteristics of the two inducible pathways, the optimal IPTG induction time point and dose for 2-methyl-1-propanol biosynthesis were determined as 9.5 h and 300 mu M, respectively. Under the optimized conditions, strain BSU Delta L-03 with inducible pathways produced up to 3.83 +/- 0.46 g 2-methyl-1-propanol/l, which was about 60 % higher than BSUL04 with constitutive pathways. ", Biotechnology & Applied Microbiology 
10.1007/s00018-012-1024-3,"A trapper keeper for TRAPP, its structures and functions","Abstract: During biosynthesis many membrane and secreted proteins are transported from the endoplasmic reticulum, through the Golgi and on to the plasma membrane in small transport vesicles. These transport vesicles have to undergo budding, movement, tethering, docking, and fusion at each organelle of the biosynthetic pathway. The transport protein particle (TRAPP) complex was initially identified as the tethering factor for endoplasmic reticulum (ER)-derived COPII vesicles, but the functions of TRAPP may extend to other areas of biology. Three forms of TRAPP complexes have been discovered to date, and recent advances in research have provided new insights on the structures and functions of TRAPP. Here we provide a comprehensive review of the recent findings in TRAPP biology. ", Biochemistry & Molecular Biology; Cell Biology 
10.1007/s10606-012-9169-z,Who's Got the Data? Interdependencies in Science and Technology Collaborations,"Abstract: Science and technology always have been interdependent, but never more so than with today's highly instrumented data collection practices. We report on a long-term study of collaboration between environmental scientists (biology, ecology, marine sciences), computer scientists, and engineering research teams as part of a five-university distributed science and technology research center devoted to embedded networked sensing. The science and technology teams go into the field with mutual interests in gathering scientific data. ""Data"" are constituted very differently between the research teams. What are data to the science teams may be context to the technology teams, and vice versa. Interdependencies between the teams determine the ability to collect, use, and manage data in both the short and long terms. Four types of data were identified, which are managed separately, limiting both reusability of data and replication of research. Decisions on what data to curate, for whom, for what purposes, and for how long, should consider the interdependencies between scientific and technical processes, the complexities of data collection, and the disposition of the resulting data. "," Computer Science, Interdisciplinary Applications "
10.1111/j.1523-1739.2012.01905.x,Phenotypic Effects of Cattle Mitochondrial DNA in American Bison,"Abstract: Hybridization between endangered species and more common species is a significant problem in conservation biology because it may result in extinction or loss of adaptation. The historical reduction in abundance and geographic distribution of the American plains bison (Bison bison bison) and their recovery over the last 125 years is well documented. However, introgression from domestic cattle (Bos taurus) into the few remaining bison populations that existed in the late 1800s has now been identified in many modern bison herds. We examined the phenotypic effect of this ancestry by comparing weight and height of bison with cattle or bison mitochondrial DNA (mtDNA) from Santa Catalina Island, California (U.S.A.), a nutritionally stressful environment for bison, and of a group of age-matched feedlot bison males in Montana, a nutritionally rich environment. The environmental and nutritional differences between these 2 bison populations were very different and demonstrated the phenotypic effect of domestic cattle mtDNA in bison over a broad range of conditions. For example, the average weight of feedlot males that were 2 years of age was 2.54 times greater than that of males from Santa Catalina Island. In both environments, bison with cattle mtDNA had lower weight compared with bison with bison mtDNA, and on Santa Catalina Island, the height of bison with cattle mtDNA was lower than the height of bison with bison mtDNA. These data support the hypothesis that body size is smaller and height is lower in bison with domestic cattle mtDNA and that genomic integrity is important for the conservation of the American plains bison. ", Biodiversity Conservation; Ecology; Environmental Sciences 
10.1007/s00294-012-0382-6,Large scale expressed sequence tag (EST) analysis of Metarhizium acridum infecting Locusta migratoria reveals multiple strategies for fungal adaptation to the host cuticle,"Abstract: To infect its insect host, the entomopathogenic fungus Metarhizium acridum has to breach the physical barrier of the host cuticle to gain entry into insect tissue. To identify virulence-associated genes to improve the biocontrol efficacy of M. acridum, it is necessary to understand the genes expressed by M. acridum during its infection of the insect host cuticle. In this study, we performed a large scale gene expression analysis of M. acridum during locust cuticle infection. We report the identification of 4,739 unique expressed sequence tags (ESTs), of which 80 % have not been previously identified. Analysis of the ESTs provided evidence that M. acridum may employ several different adaptation strategies to infect locust cuticle, such as metabolism reprogramming, protein secretion, endocytosis, cell-cycle-regulated morphogenesis and effector-dependent suppression of host immune responses. By searching against the pathogen-host interaction database, several genes associated with different adaptation processes were found to potentially encode important virulence genes. Gene expression pattern analysis by semi-quantitative RT-PCR revealed that M. acridum differentially regulates subsets of genes in response to different infection niches between the host cuticle and hemolymph. The present study provides novel candidate genes to investigate the biology of insect infection by M. acridum. ", Genetics & Heredity 
10.1097/ACI.0b013e32835923a6,History of primary immunodeficiency diseases,"Abstract: Purpose of review

This issue of Current Opinion in Allergy and Clinical Immunology is focused on primary immunodeficiency diseases (PIDs). Like every disorder, PID has its own specific history, starting with the discovery of agammaglobulinemia in 1952 and still expanding at a rapid pace, covering, at the time of this publication, more than 180 genetically determined disorders. However, as this report attempts to demonstrate, the history of PID is intertwined with the development of modern medicine and is the direct result of the innovative thinking of physician scientists who introduced new concepts in pathology, microbiology, biochemistry, and immunology, based on carefully designed experiments. As a consequence of the novel ideas put forth in the late 19th century, progress in public health, the discovery of antimicrobials, and the utilization of biologic products led to the recognition of genetically determined defects of Immunity and the design of effective treatment strategies.

Recent findings

The discovery of the structure of DNA, its replication, and the mapping of the human genome has transformed the field of PID into a predictable science of cutting edge therapies and diagnostic concepts.

Summary

This review illustrates the historic events that led to the discovery, classification, and molecular definition of PID. ", Allergy; Immunology 
10.1007/s11920-012-0326-3,New Models for Considering the Role of Medication in the Treatment and Elucidation of the Etiology of Autism,"Abstract: Autism spectrum disorder (ASD) is a lifelong neurodevelopmental disorder. Over the past decades, much research has been conducted to elucidate a single etiological factor and effective pharmacotherapuetics to address the core symptom domains of ASD with limited success. Research has changed focus from behavioral observations of ASD to translating findings from animal models, genomic manipulation studies and basic science studies to pharmacological agents with the aim to lessen or reverse core symptoms of ASD. This paper evaluates potential models for translating information from the biology of ASD to pharmacological treatments. ", Psychiatry 
10.1242/dev.080515,"Drosophila neuroblasts: a model for stem cell biology
","Abstract: Drosophila neuroblasts, the stem cells of the developing fly brain, have emerged as a key model system for neural stem cell biology and have provided key insights into the mechanisms underlying asymmetric cell division and tumor formation. More recently, they have also been used to understand how neural progenitors can generate different neuronal subtypes over time, how their cell cycle entry and exit are coordinated with development, and how proliferation in the brain is spared from the growth restrictions that occur in other organs upon starvation. In this Primer, we describe the biology of Drosophila neuroblasts and highlight the most recent advances made using neuroblasts as a model system. ", Developmental Biology 
10.1002/dev.20623,"The development of stereotypic behavior in caged european starlings, Sturnus vulgaris","Abstract: Stereotypic behavior in captive animals has been hypothesized to emerge from thwarted natural behavior patterns and is thought to be more common in captive-reared animals. However, data on the early stages of developing stereotypies are currently scarce. We compared the development of stereotypic route-tracing and somersaulting in hand-reared and wild-caught starlings placed in individual cages for the first time. We found that wild-caught birds were less active but showed more escape motivation and more evidence of route-tracing behavior. Furthermore, somersaulting was only observed in wild-caught birds. Development of somersaulting was predicted by subtle differences in behavior during the first few days in cages and developed in individuals with low levels of route-tracing behavior. Our data suggest a role for escape motivation in the development of starling stereotypies and additionally that route-tracing and somersaulting may represent alternative outlets for thwarted escape. In contrast to observations from mammals, our results show that stereotypies are more common in wild-caught starlings. (C) 2011 Wiley Periodicals,Inc. Dev Psychobiol 54: 773784, 2012 ", Developmental Biology; Psychology 
10.1016/j.funeco.2012.05.004,Rapid invasion by an aggressive pathogenic fungus (Hymenoscyphus pseudoalbidus) replaces a native decomposer (Hymenoscyphus albidus): a case of local cryptic extinction?,"Abstract: Ash dieback caused by the infectious fungus Hymenoscyphus pseudoalbidus currently threatens the common ash, Fraxinus excelsior, in Europe. An intriguing aspect is the morphological and ecological similarity between H. pseudoalbidus and the native saprotroph Hymenoscyphus albidus. We revisited four localities where H. albidus apothecia were collected from 1989 to 2005 and established the current relationship of the species in these Danish ash stands based on microsatellites and differences in ITS sequences (used as CAPs marker). Scottish collections from 2010 supported the hypothesis that Danish herbarium samples prior to 2005 are identical to H. albidus still found in Scotland. The markers further revealed that herbarium samples from 1989 to 1994 were all H. albidus, while the latest collection (2005) was H. pseudoalbidus, which coincides with the first Danish symptom observations. Collections from 2010 were purely H. pseudoalbidus. We suggest that expanding H. pseudoalbidus excludes H. albidus from its niche resulting in H. albidus becoming a rare species in Denmark, which is perhaps already locally extinct. (c) 2012 Elsevier Ltd and The British Mycological Society. All rights reserved. ", Ecology; Mycology 
10.1016/j.funeco.2012.06.001,Population structure analysis provides insights into the infection biology and invasion strategies of Kretzschmaria deusta in trees,"Abstract: Infection biology and invasion strategies of Kretzschmaria deusta were investigated through the analysis of patterns of colonization and population diversity in three case studies, comprising different host species. Molecular analysis and isolation assays performed on stem sections at different heights indicated a prevalent heart rot mode of expansion. Random amplified microsatellites - RAMs and somatic incompatibility assays on isolates allowed detection, in one case, of a genet occupying the entire decay column and, in the other cases, of several different genets in each individual tree. Hypotheses on modes of arrival and entrance of K. deusta in trees are discussed on the basis of the distribution of genets and population genetics analyses. Significant correlation (Spearman rho = 1.0; p < 0.001) between the number of genets and the number of areas delimited by pseudosclerotial plates (PSPs) on the decayed portions of stem sections suggests PSPs are interaction zone lines between different individuals of K. deusta occupying adjacent decay columns. (c) 2012 Elsevier Ltd and The British Mycological Society. All rights reserved. ", Ecology; Mycology 
10.1007/s00439-012-1206-y,Network medicine: linking disorders,"Abstract: The molecular events underlying many human hereditary disorders remain to be discovered despite the significant advances made in molecular biology and genetics in the past years. Given the complexity of cellular systems and the interplay between different functional modules, it is becoming increasingly evident that profound insights into human disease cannot be derived by analyzing single genetic defects. The generation of different types of disease interaction networks has recently emerged as a unifying approach that holds the promise of shedding some light on common pathological mechanisms by placing the single disorders into a larger context. In this review, I summarize the rationale behind these disease networks and different ways of constructing them. Finally, I highlight some of the first results that have been obtained by systematically analyzing the intertwined relationships between human disorders because they suggest that the current disease classification does not always sufficiently reflect biologically and medically relevant disease relationships. ", Genetics & Heredity 
10.1017/S0021859611000876,Seed production of barnyardgrass (Echinochloa crus-galli) in response to time of emergence in cotton and rice,"Abstract: The spread of herbicide resistance in barnyardgrass (Echinochloa crus-galli (L.) Beauv.) poses a serious threat to crop production in the southern United States. A thorough knowledge of the biology of barnyardgrass is fundamental for designing effective resistance-management programmes. In the present study, seed production of barnyardgrass in response to time of emergence was investigated in cotton and rice, respectively, in Fayetteville and Rohwer, Arkansas, over a 2-year period (2008-09). Barnyardgrass seed production was greater when seedlings emerged with the crop, but some seed production was observed even if seedlings emerged several weeks after crop emergence. Moreover, barnyardgrass seed production was highly variable across environments. When emerging with the crop (0 weeks after crop emergence (WAE)), barnyardgrass produced c. 35500 and 16500 seeds/plant in cotton, and c. 39000 and 2900 seeds/plant in rice, in 2008 and 2009, respectively. Seed production was observed when seedlings emerged up to 5 WAE (2008) or 7 WAE (2009) in cotton and up to 5 WAE (2008, 2009) in rice; corresponding seed production was c. 2500 and 1500 seeds/plant in cotton, and c. 14700 and 110 seeds/plant in rice, in 2008 and 2009, respectively. The results suggest that cultural approaches that delay the emergence of barnyardgrass or approaches that make the associated crop more competitive will be useful in integrated management programmes. In the context of herbicide resistance management, it may be valuable to prevent seed return to the seedbank, irrespective of cohorts. The findings are vital for parameterizing herbicide resistance simulation models for barnyardgrass. "," Agriculture, Multidisciplinary "
10.1177/1087057112453071,A Multiplexed siRNA Screening Strategy to Identify Genes in the PARP Pathway,"Abstract: Gene silencing by RNA interference has become a powerful tool to help identify genes that regulate biological processes. However, the complexity of the biology probed and the incomplete validation of the reagents used make it difficult to interpret the results of genome-wide siRNA screens. To address this challenge and maximize the return on the efforts required for validating genomic screen hits, the screening strategy must be designed to increase the robustness of the primary screening hits and include assays that inform on the mechanism of action of the knocked-down transcripts. Here, we describe the implementation of a small interfering RNA (siRNA) screen to identify genes that sensitize the effect of poly-(ADP ribose)-polymerase (PARP) inhibitor on cell survival. In the strategy we designed for the primary screen, two biological activities, apoptosis and cell viability, were measured simultaneously at different time points in the presence and absence of a PARP inhibitor (PARPi). The multiplexed assay allowed us to identify PARPi sensitizers induced by both caspase-dependent and independent mechanisms. The multiplexed screening strategy yielded robust primary hits with significant enrichment for DNA repair genes, which were further validated using relevant high-content imaging assays and confirmation of transcript knockdown by real-time PCR (rtPCR). "," Biochemical Research Methods; Biotechnology & Applied Microbiology; Chemistry, Analytical "
10.1194/jlr.R026658,The PCSK9 decade,"Abstract: PCSK9 proprotein convertase subtilisin/kexin type (PCSK9) is a crucial protein in LDL cholesterol (LDL-C) metabolism by virtue of its pivotal role in the degradation of the LDL receptor. In recent years, both in vitro and in vivo studies have greatly supplemented our understanding of the (patho) physiological role of PCSK9 in human biology. In the current review, we summarize studies published or in print before May 2012 concerning the physiological role of PCSK9 in cholesterol metabolism. Moreover, we briefly describe the clinical phenotypes encountered in carriers of mutations in the gene encoding PCSK9. As PCSK9 has emerged as a novel target for LDL-C lowering therapy, methods to inhibit PCSK9 will also be reviewed. Initial data from investigations of PCSK9 inhibition in humans are promising and indicate that PCSK9 inhibition may be a viable new therapeutic option for the treatment of dyslipidemia and associated cardiovascular diseases.-Lambert, G., B. Sjouke, B. Choque, J. J. P. Kastelein, and G. K. Hovingh. The PCSK9 decade. J. Lipid Res. 2012. 53: 2515-2524. ", Biochemistry & Molecular Biology 
10.1194/jlr.M031245,StAR-related lipid transfer domain protein 5 binds primary bile acids,"Abstract: Steroidogenic acute regulatory-related lipid transfer (START) domain proteins are involved in the nonvesicular intracellular transport of lipids and sterols. The STARD1 (STARD1 and STARD3) and STARD4 subfamilies (STARD4-6) have an internal cavity large enough to accommodate sterols. To provide a deeper understanding on the structural biology of this domain, the binding of sterols to STARD5, a member of the STARD4 subfamily, was monitored. The SAR by NMR [H-1-N-15 heteronuclear single-quantum coherence (HSQC)] approach, complemented by circular dichroism (CD) and isothermal titration calorimetry (ITC), was used. Titration of STARD5 with cholic (CA) and chenodeoxycholic acid (CDCA), ligands of the farnesoid X receptor (FXR), leads to drastic perturbation of the H-1-N-15 HSQC spectra and the identification of the residues in contact with those ligands. The most perturbed residues in presence of ligands are lining the internal cavity of the protein. Ka values of 1.8.10(-4) M-1 and 6.3.10(4)M(-1) were measured for CA and CDCA, respectively. This is the first report of a START domain protein in complex with a sterol ligand. Our original findings indicate that STARD5 may be involved in the transport of bile acids rather than cholesterol. -Letourneau, D., A. Lorin, A. Lefebvre, V. Frappier, F. Gaudreault, R. Najmanovich, P. Lavigne, and J.-G. LeHoux. StAR-related lipid transfer domain protein 5 binds primary bile acids. J. Lipid Res. 2012. 53: 2677-2689. ", Biochemistry & Molecular Biology 
10.1016/j.jmarsys.2012.07.004,"Growth and reproductive dynamics of the South American red shrimp, Pleoticus muelleri (Crustacea: Solenoceridae), from the southeastern coast of Brazil","Abstract: The increase in the fishing fleet in southeastern Brazil and the decrease in the landings of profitable shrimp species have contributed to the incorporation of additional species into those fisheries, such as Pleoticus muelleri. The goal of the present study is to investigate the growth and reproductive dynamics of P. muelleri in the Southeastern coast of Brazil over a period of two years. Monthly collections were conducted in Ubatuba (UB) and Caraguatatuba (CA) using a commercial shrimp fishing boat equipped with ""double-rig"" nets. Each region was divided into 7 sampling stations up to 35 m deep. Population parameters from size frequency distributions (carapace length = CL), growth, longevity, sex ratio, and abundance of individuals in each life period (demographic class), from both sampling areas were analyzed and compared. The relationship between abiotic factors and abundance of each demographic class was assessed using a Canonical Correlation Analysis (CCorrA). A total of 19,816 individuals were collected, of which 5341 were measured, with an estimated longevity of 2.02 (UB) and 2.15 (CA) years for females and 1.80 (UB) and 1.96 (CA) years for males. There was a statistically significant bias in sex ratio toward females (Chi-square test, p<0.05) in both regions. The CCorrA resulted in a canonical correlation coefficient of 0.32 (p<0.00001). Both temperature and grain size composition of the sediment showed high correlation mainly with the presence of reproductive females, followed spermatophore-bearing males and recruits. In general, these demographic classes were most common in conditions of low temperature and fine sediments. These findings, as well as other studies carried out in colder regions with the same species, are consistent with the classical paradigm of lower longevity at lower latitudes. However, our results also suggest that this species maintained abiotic preference as populations located in cold temperate regions, mainly with temperature, indicating a different behavior from other shrimp species explored by fishery in the same region. Crown Copyright (C) 2012 Published by Elsevier B.V. All rights reserved. "," Geosciences, Multidisciplinary; Marine & Freshwater Biology; Oceanography "
10.1128/JVI.00973-12,Authentic In Vitro Replication of Two Tombusviruses in Isolated Mitochondrial and Endoplasmic Reticulum Membranes,"Abstract: Replication of plus-stranded RNA viruses takes place on membranous structures derived from various organelles in infected cells. Previous works with Tomato bushy stunt tombusvirus (TBSV) revealed the recruitment of either peroxisomal or endoplasmic reticulum (ER) membranes for replication. In case of Carnation Italian ringspot tombusvirus (CIRV), the mitochondrial membranes supported CIRV replication. In this study, we developed ER and mitochondrion-based in vitro tombusvirus replication assays. Using purified recombinant TBSV and CIRV replication proteins, we showed that TBSV could use the purified yeast ER and mitochondrial preparations for complete viral RNA replication, while CIRV preferentially replicated in the mitochondrial membranes. The viral RNA became partly RNase resistant after similar to 40 to 60 min of incubation in the purified ER and mitochondrial preparations, suggesting that assembly of TBSV and CIRV replicases could take place in the purified ER and mitochondrial membranes in vitro. Using chimeric and heterologous combinations of replication proteins, we showed that multiple domains within the replication proteins are involved in determining the efficiency of tombusvirus replication in the two subcellular membranes. Altogether, we demonstrated that TBSV is less limited while CIRV is more restricted in utilizing various intracellular membranes for replication. Overall, the current work provides evidence that tombusvirus replication could occur in vitro in isolated subcellular membranes, suggesting that tombusviruses have the ability to utilize alternative organellar membranes during infection that could increase the chance of mixed virus replication and rapid evolution during coinfection. ", Virology 
10.1007/s00542-012-1559-0,Terahertz sensing application by using planar split-ring-resonator structures,"Abstract: This numerical study investigates terahertz sensing applications of metamaterials based on planar split-ring-resonators. In order to keep the manufacturing process of the sensor simple, arrays of single split-ring-resonators are used. Two types of resonators, square and circular, are designed to cover different frequency ranges. An unknown material is then added as an overlayer to the metamaterial in order to explore the performance of the entire system in terms of sensing phenomenon. The changes in the transmission resonances are monitored upon variation of the thickness, the dielectric constant, and the coverage (distribution of the unknown material within each unit cell) of the overlayer. The results show good sensitivity of the sensors suggesting they can be used for a myriad of terahertz sensing applications in biology and chemistry. "," Engineering, Electrical & Electronic; Nanoscience & Nanotechnology; Materials Science, Multidisciplinary; Physics, Applied "
10.1007/s11033-012-1902-7,Comparative analysis of human reproductive proteomes identifies candidate proteins of sperm maturation,"Abstract: Male reproductive proteomes provide basis for studying gene products and its involvement or regulation in sperm physiology. Here, a comparative study between these proteomes was performed to find potential proteins and functions associated with human sperm maturation. Seven reproductive proteomes associated with human sperm physiology were integrated. Gene ontology analysis were performed using DAVID and Panther tools to determine enriched functions. Total of 270 proteins overlapped between epididymal, prostatic milieu and sperm proteome were thought to be candidate proteins involved in sperm maturation, and they showed enriched functions of proteasomal protein catabolic process and protein folding. 34 epididymal milieu proteins and 274 prostatic milieu proteins were contributed to the composition of seminal fluids proteome. Literatures have confirmed the involvements in sperm maturation of many of these proteins The spatial expressions of 24 epididymal milieu proteins involved in chaperone and antioxidant activity were authenticated by real-time RT-PCR. These proteins may serve as candidate molecules for future studies of sperm maturation and male infertility. ", Biochemistry & Molecular Biology 
10.1007/s11033-012-1910-7,Genetic polymorphisms of lipoprotein lipase gene and their associations with growth traits in Xiangxi cattle,"Abstract: Lipoprotein lipase (LPL), involved in the metabolism and transport of lipids, regulate energy balance, fat deposition and growth traits. The objective of this study was to investigate the single nucleotide polymorphisms (SNPs) of LPL gene and to determine their associations between these polymorphisms and growth traits in Xiangxi cattle breed. In this study, six novel SNPs (C355157T, T355169C, T355186G, A355210G, T355348A and T355420C) and one reported SNP (A355427T, has been recorded in dbSNP, ID rs110590698) were detected using polymerase chain reaction and DNA sequencing method. Genotyping and genetic diversity analysis were performed in 240 Xiangxi cattle on the basis of sequence alignment, which indicated that five SNPs (C355157T, 355186G, T355348A, T355420C, A355427T) were in abundant genetic diversity, and the other two SNPs (T355169C and TA355210G) were in low genetic diversity. Linkage disequilibrium analysis showed that 18 different haplotypes were identified in these animals. Moreover, the results of the association between LPL gene polymorphisms and growth traits indicated that the individuals with H1H1 haplotype combination had higher BW and HG than those with other haplotype combinations (P < 0.05). The animals with CC genotype maintain higher mean values for BW than those with the CT and TT genotypes (P < 0.05) at T355420C locus. The animals with the AA genotype have lower mean values for WH, BL, HG and BW than those with the AT and TT genotypes at A355427T locus (P < 0.05). The results suggested that the SNPs of the LPL gene might be useful genetic markers for growth traits in the bovine reproduction and breeding. ", Biochemistry & Molecular Biology 
